Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering
00:00:22,2026-01-02,ACC-S00845,ACC-R00074,383.6,USD,USD,Japan,Switzerland,Cheque,0
00:00:37,2026-01-02,ACC-S00074,ACC-R00737,679.92,EUR,EUR,Australia,France,Cash Transfer,0
00:07:13,2026-01-02,ACC-S01609,ACC-R00144,1234.03,CAD,CAD,India,Switzerland,Wire,0
00:08:05,2026-01-02,ACC-S00676,ACC-R01853,2270.48,AUD,AUD,Japan,Japan,Cheque,0
00:08:58,2026-01-02,ACC-S00794,ACC-R01462,403.45,GBP,JPY,France,Switzerland,ACH,0
00:12:33,2026-01-02,ACC-S01020,ACC-R01752,2839.51,AUD,AUD,Australia,Singapore,Cheque,0
00:15:32,2026-01-02,ACC-S00837,ACC-R00528,424.77,AUD,AUD,Canada,France,ACH,0
00:15:46,2026-01-02,ACC-S01635,ACC-R00600,935.64,AUD,AUD,India,Brazil,Wire,0
00:16:00,2026-01-02,ACC-S00197,ACC-R00343,605.08,JPY,JPY,Germany,Switzerland,Cheque,0
00:18:30,2026-01-02,ACC-S00369,ACC-R00642,375.28,USD,USD,Australia,Switzerland,ACH,0
00:19:13,2026-01-02,ACC-S01087,ACC-R00973,596.57,USD,USD,Singapore,Switzerland,Cash Transfer,0
00:21:16,2026-01-02,ACC-S01965,ACC-R01513,33.15,EUR,EUR,India,Germany,Debit Card,0
00:24:21,2026-01-02,ACC-S01388,ACC-R01817,901.26,AUD,AUD,United States,India,Credit Card,0
00:32:47,2026-01-02,ACC-S00396,ACC-R00464,809.7,GBP,EUR,France,United States,Debit Card,0
00:35:36,2026-01-02,ACC-S01488,ACC-R00071,1897.73,AUD,AUD,Japan,Canada,Cheque,0
00:42:22,2026-01-02,ACC-S01276,ACC-R01008,574.98,EUR,EUR,Australia,France,Credit Card,0
00:43:19,2026-01-02,ACC-S01909,ACC-R01659,672.34,CAD,CAD,United States,Canada,Credit Card,0
00:46:56,2026-01-02,ACC-S00408,ACC-R01026,229.21,USD,USD,Japan,Singapore,Cheque,0
00:51:46,2026-01-02,ACC-S00581,ACC-R00516,516.2,AUD,AUD,United Kingdom,France,ACH,0
01:03:20,2026-01-02,ACC-S01108,ACC-R00909,195.86,CAD,USD,Brazil,United States,Wire,0
01:07:19,2026-01-02,ACC-S01898,ACC-R00897,1001.14,CAD,CAD,United States,Japan,Debit Card,0
01:13:12,2026-01-02,ACC-S01580,ACC-R01997,163.33,EUR,EUR,United Kingdom,Singapore,Wire,0
01:16:09,2026-01-02,ACC-S00905,ACC-R01466,393.67,USD,USD,India,Canada,ACH,0
01:17:10,2026-01-02,ACC-S01635,ACC-R00604,1187.76,JPY,JPY,India,Canada,Wire,0
01:17:40,2026-01-02,ACC-S01889,ACC-R01378,768.38,JPY,JPY,Canada,Singapore,Debit Card,0
01:17:59,2026-01-02,ACC-S01296,ACC-R00897,360.06,EUR,EUR,Singapore,France,Wire,0
01:20:55,2026-01-02,ACC-S01024,ACC-R01094,247.7,GBP,GBP,India,Singapore,ACH,0
01:22:06,2026-01-02,ACC-S00629,ACC-R00016,141.3,CAD,CAD,Canada,Singapore,Debit Card,0
01:27:10,2026-01-02,ACC-S00795,ACC-R00962,401.67,JPY,JPY,United Kingdom,Singapore,ACH,0
01:27:30,2026-01-02,ACC-S01840,ACC-R00011,866.04,CAD,CAD,Brazil,Japan,ACH,0
01:31:10,2026-01-02,ACC-S00093,ACC-R01301,121.77,EUR,EUR,France,Germany,Debit Card,0
01:39:35,2026-01-02,ACC-S01118,ACC-R00282,1289.49,AUD,AUD,Switzerland,Australia,Wire,0
01:47:41,2026-01-02,ACC-S01143,ACC-R00794,2278.27,EUR,EUR,Singapore,Switzerland,Cash Transfer,0
01:52:05,2026-01-02,ACC-S00333,ACC-R01780,1904.87,CAD,CAD,Brazil,Germany,Wire,0
01:52:38,2026-01-02,ACC-S00113,ACC-R01055,1171.89,USD,USD,Canada,India,Credit Card,0
01:53:42,2026-01-02,ACC-S00694,ACC-R01641,2431.84,EUR,EUR,Japan,Switzerland,Cheque,0
01:57:35,2026-01-02,ACC-S00131,ACC-R01919,1062.29,USD,USD,Germany,Singapore,Cheque,0
01:58:33,2026-01-02,ACC-S01376,ACC-R00935,57.29,EUR,EUR,United States,Australia,Credit Card,0
01:59:08,2026-01-02,ACC-S01747,ACC-R00176,1124.83,EUR,EUR,Brazil,United Kingdom,Cash Transfer,0
02:02:09,2026-01-02,ACC-S01656,ACC-R01181,2306.43,GBP,GBP,Germany,Japan,ACH,0
02:03:39,2026-01-02,ACC-S00052,ACC-R00781,497.43,EUR,EUR,United Kingdom,Germany,ACH,0
02:08:06,2026-01-02,ACC-S01633,ACC-R00342,771.29,EUR,EUR,Switzerland,United Kingdom,Wire,0
02:11:11,2026-01-02,ACC-S01405,ACC-R01267,379.58,USD,USD,Canada,Australia,Cash Transfer,0
02:14:10,2026-01-02,ACC-S00623,ACC-R01489,427.87,JPY,JPY,India,Brazil,Credit Card,0
02:17:36,2026-01-02,ACC-S01215,ACC-R00489,458.11,AUD,AUD,Canada,Singapore,Debit Card,0
02:18:21,2026-01-02,ACC-S01818,ACC-R00843,289.43,GBP,GBP,United States,Singapore,ACH,0
02:24:18,2026-01-02,ACC-S01123,ACC-R00326,961.19,GBP,GBP,France,Singapore,Debit Card,0
02:24:28,2026-01-02,ACC-S01521,ACC-R01375,1913.34,EUR,CAD,Brazil,France,Wire,0
02:25:39,2026-01-02,ACC-S00227,ACC-R00198,862.81,USD,USD,United States,Switzerland,Cash Transfer,0
02:28:08,2026-01-02,ACC-S00474,ACC-R00967,55.51,EUR,EUR,Japan,Australia,Debit Card,0
02:28:11,2026-01-02,ACC-S00413,ACC-R01414,723.6,GBP,GBP,Germany,Canada,Credit Card,0
02:28:56,2026-01-02,ACC-S00451,ACC-R01960,1333.73,AUD,AUD,Japan,Germany,Cheque,0
02:37:32,2026-01-02,ACC-S01698,ACC-R01440,1090.1,JPY,JPY,Singapore,Japan,Cash Transfer,0
02:38:07,2026-01-02,ACC-S00834,ACC-R01037,1238.3,AUD,AUD,France,United Kingdom,Cheque,0
02:38:34,2026-01-02,ACC-S01549,ACC-R01528,102.17,GBP,USD,India,Brazil,ACH,0
02:39:12,2026-01-02,ACC-S01618,ACC-R01173,299.99,JPY,JPY,Canada,Switzerland,Credit Card,0
02:50:09,2026-01-02,ACC-S00484,ACC-R00355,682.32,JPY,AUD,Switzerland,India,Cash Transfer,0
02:51:27,2026-01-02,ACC-S00730,ACC-R00320,1125.65,JPY,CAD,India,United Kingdom,ACH,0
02:52:49,2026-01-02,ACC-S01255,ACC-R01171,496.4,EUR,EUR,France,Japan,ACH,0
02:54:50,2026-01-02,ACC-S00132,ACC-R00539,780.65,AUD,AUD,India,France,Credit Card,0
02:55:08,2026-01-02,ACC-S00386,ACC-R01827,220.67,CAD,CAD,United Kingdom,Singapore,ACH,0
03:11:11,2026-01-02,ACC-S00049,ACC-R00941,1195.28,USD,USD,Switzerland,Australia,ACH,0
03:17:02,2026-01-02,ACC-S00898,ACC-R01490,985.17,EUR,EUR,United Kingdom,United States,Wire,0
03:29:01,2026-01-02,ACC-S00483,ACC-R00394,78.74,AUD,AUD,India,United Kingdom,Cheque,0
03:34:31,2026-01-02,ACC-S00596,ACC-R01376,491.99,EUR,EUR,France,United Kingdom,Credit Card,0
03:44:51,2026-01-02,ACC-S01238,ACC-R01177,1026.03,CAD,CAD,Japan,Germany,Cheque,0
03:48:06,2026-01-02,ACC-S01649,ACC-R01823,1133.27,JPY,JPY,India,Singapore,ACH,0
03:52:17,2026-01-02,ACC-S00350,ACC-R01711,172.03,USD,USD,Japan,Brazil,ACH,0
03:53:51,2026-01-02,ACC-S00266,ACC-R00366,1539.46,CAD,CAD,France,United States,Wire,0
03:58:48,2026-01-02,ACC-S01443,ACC-R01612,921.33,CAD,CAD,Singapore,United States,Cheque,0
04:00:35,2026-01-02,ACC-S01531,ACC-R01387,518.49,GBP,GBP,France,Australia,Wire,0
04:02:08,2026-01-02,ACC-S01843,ACC-R01327,302.27,JPY,JPY,Germany,Brazil,Wire,0
04:02:43,2026-01-02,ACC-S01165,ACC-R00123,600.78,CAD,CAD,India,Canada,Wire,0
04:13:23,2026-01-02,ACC-S00707,ACC-R00112,1087.31,USD,USD,Canada,India,Credit Card,0
04:18:11,2026-01-02,ACC-S01614,ACC-R01477,1165.85,EUR,EUR,Brazil,United States,Debit Card,0
04:22:56,2026-01-02,ACC-S01406,ACC-R01590,990.76,JPY,JPY,Germany,Germany,Debit Card,0
04:26:25,2026-01-02,ACC-S00513,ACC-R01674,1027.09,JPY,JPY,France,Japan,ACH,0
04:34:52,2026-01-02,ACC-S00316,ACC-R01437,729.29,CAD,CAD,Singapore,Switzerland,ACH,0
04:38:21,2026-01-02,ACC-S00895,ACC-R01271,84.72,EUR,USD,United States,Brazil,Debit Card,0
04:40:05,2026-01-02,ACC-S00998,ACC-R01949,494.6,JPY,JPY,France,Australia,Credit Card,0
04:40:09,2026-01-02,ACC-S00574,ACC-R00815,609.03,USD,USD,France,France,Cheque,0
04:43:47,2026-01-02,ACC-S01962,ACC-R00246,501.22,CAD,CAD,Japan,United Kingdom,Cheque,0
04:44:08,2026-01-02,ACC-S00878,ACC-R00572,925.32,EUR,EUR,Canada,Switzerland,Credit Card,0
04:45:19,2026-01-02,ACC-S00308,ACC-R01409,59.51,GBP,GBP,United States,France,Debit Card,0
04:45:25,2026-01-02,ACC-S01596,ACC-R00735,1227.52,CAD,USD,Canada,Brazil,ACH,0
04:48:25,2026-01-02,ACC-S00854,ACC-R01986,1638.85,CAD,CAD,United Kingdom,India,Cheque,0
04:49:49,2026-01-02,ACC-S00596,ACC-R01407,324.0,JPY,JPY,France,Australia,Cash Transfer,0
04:49:54,2026-01-02,ACC-S01543,ACC-R00026,220.68,GBP,GBP,Brazil,Japan,Wire,0
04:54:19,2026-01-02,ACC-S01412,ACC-R00774,480.71,GBP,GBP,India,Australia,Cash Transfer,0
04:56:36,2026-01-02,ACC-S01813,ACC-R00997,719.99,USD,USD,India,India,Debit Card,0
05:01:36,2026-01-02,ACC-S01586,ACC-R01445,526.36,JPY,JPY,India,Japan,Cash Transfer,0
05:06:48,2026-01-02,ACC-S00218,ACC-R00094,1629.16,JPY,JPY,United States,Germany,Debit Card,0
05:09:14,2026-01-02,ACC-S00718,ACC-R01126,627.34,JPY,JPY,United Kingdom,Australia,Credit Card,0
05:09:18,2026-01-02,ACC-S00478,ACC-R01895,1674.5,CAD,CAD,Canada,United Kingdom,ACH,0
05:13:01,2026-01-02,ACC-S01790,ACC-R01073,1147.11,USD,USD,Australia,Canada,Credit Card,0
05:16:37,2026-01-02,ACC-S01199,ACC-R00993,59.2,EUR,CAD,Germany,United States,Debit Card,0
05:17:05,2026-01-02,ACC-S01446,ACC-R00799,368.43,AUD,AUD,United States,Singapore,Credit Card,0
05:18:32,2026-01-02,ACC-S01683,ACC-R01645,1033.64,CAD,CAD,Australia,Singapore,Cheque,0
05:19:08,2026-01-02,ACC-S01621,ACC-R00065,89.59,USD,USD,Canada,Australia,ACH,0
05:19:22,2026-01-02,ACC-S00327,ACC-R00367,505.49,JPY,JPY,India,Brazil,Cheque,0
05:25:58,2026-01-02,ACC-S00567,ACC-R00109,1543.94,JPY,JPY,Brazil,France,ACH,0
05:26:09,2026-01-02,ACC-S01638,ACC-R01877,105.02,GBP,GBP,Japan,Australia,ACH,0
05:37:00,2026-01-02,ACC-S01138,ACC-R00788,904.45,GBP,JPY,Germany,Australia,Debit Card,0
05:38:10,2026-01-02,ACC-S00523,ACC-R00012,1741.57,USD,USD,Canada,Australia,Debit Card,0
05:49:00,2026-01-02,ACC-S01867,ACC-R00972,720.51,JPY,USD,Singapore,Singapore,Wire,0
05:49:18,2026-01-02,ACC-S00787,ACC-R01489,645.66,CAD,CAD,Switzerland,Switzerland,Cheque,0
05:50:16,2026-01-02,ACC-S00564,ACC-R01777,1974.11,USD,USD,Switzerland,Brazil,Cheque,0
05:52:15,2026-01-02,ACC-S00360,ACC-R01719,886.51,EUR,EUR,Brazil,India,Wire,0
05:58:15,2026-01-02,ACC-S00664,ACC-R01417,1946.12,JPY,JPY,Japan,India,Cash Transfer,0
05:59:56,2026-01-02,ACC-S00591,ACC-R01963,575.15,GBP,GBP,Germany,United Kingdom,ACH,0
06:01:46,2026-01-02,ACC-S00014,ACC-R01028,1488.03,EUR,EUR,United States,Germany,Debit Card,0
06:02:17,2026-01-02,ACC-S01737,ACC-R01975,578.13,AUD,AUD,Japan,Brazil,Cash Transfer,0
06:02:33,2026-01-02,ACC-S00695,ACC-R00769,1279.66,AUD,AUD,Germany,India,Cheque,0
06:04:37,2026-01-02,ACC-S01524,ACC-R01436,1713.04,CAD,CAD,United Kingdom,United Kingdom,Wire,0
06:08:23,2026-01-02,ACC-S00747,ACC-R01655,93.63,USD,USD,Brazil,Australia,Debit Card,0
06:09:24,2026-01-02,ACC-S01521,ACC-R01134,141.35,CAD,CAD,Brazil,United Kingdom,Debit Card,0
06:13:07,2026-01-02,ACC-S00232,ACC-R00720,1146.93,GBP,GBP,United Kingdom,Singapore,Debit Card,0
06:17:02,2026-01-02,ACC-S01280,ACC-R01371,102.87,JPY,JPY,Australia,Brazil,Debit Card,0
